,sname,dname,cname,enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12
1749,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,Los Angeles Unified,Los Angeles,118,97,86.0,88.66,63.0,64.95,62.0,63.92
1750,Camino Nuevo Charter High,Los Angeles Unified,Los Angeles,86,70,23.0,32.86,4.0,5.71,3.0,4.29
1752,Western High,Anaheim Union High,Orange,498,97,56.0,57.73,34.0,35.05,30.0,30.93
1753,Chico High,Chico Unified,Butte,475,135,116.0,85.93,94.0,69.63,89.0,65.93
1755,Valencia High,Placentia-Yorba Linda Unified,Orange,663,217,169.0,77.88,157.0,72.35,143.0,65.9
1757,Moreno Valley High,Moreno Valley Unified,Riverside,540,472,158.0,33.47,60.0,12.71,55.0,11.65
1758,Inderkum High,Natomas Unified,Sacramento,471,221,159.0,71.95,86.0,38.91,81.0,36.65
1759,Options for Youth-Victorville Charter,Victor Valley Union High,San Bernardino,121,25,9.0,36.0,1.0,4.0,1.0,4.0
1760,Valley International Preparatory High,Los Angeles Unified,Los Angeles,71,38,33.0,86.84,18.0,47.37,18.0,47.37
1762,Pacific Grove High,Pacific Grove Unified,Monterey,138,62,53.0,85.48,52.0,83.87,48.0,77.42
1763,Salinas High,Salinas Union High,Monterey,646,212,151.0,71.23,88.0,41.51,83.0,39.15
1765,Upland High,Upland Unified,San Bernardino,764,296,229.0,77.36,146.0,49.32,142.0,47.97
1766,Tracy High,Tracy Joint Unified,San Joaquin,455,147,124.0,84.35,85.0,57.82,79.0,53.74
1767,El Modena High,Orange Unified,Orange,526,492,255.0,51.83,164.0,33.33,150.0,30.49
1768,Santa Rosa Academy,Menifee Union Elementary,Riverside,113,52,47.0,90.38,28.0,53.85,28.0,53.85
1771,Sonia Sotomayor Arts and Sciences Academies,Los Angeles Unified,Los Angeles,108,84,28.0,33.33,11.0,13.1,9.0,10.71
1772,North High,Torrance Unified,Los Angeles,448,169,139.0,82.25,108.0,63.91,106.0,62.72
1773,West High,Torrance Unified,Los Angeles,495,182,164.0,90.11,145.0,79.67,142.0,78.02
1776,Mira Mesa High,San Diego Unified,San Diego,620,254,204.0,80.31,169.0,66.54,158.0,62.2
1777,Lathrop High,Manteca Unified,San Joaquin,321,124,87.0,70.16,37.0,29.84,34.0,27.42
1779,Health Sciences High,San Diego Unified,San Diego,141,58,32.0,55.17,12.0,20.69,10.0,17.24
1781,University Preparatory Value High,Los Angeles Unified,Los Angeles,113,97,34.0,35.05,15.0,15.46,14.0,14.43
1783,Fremont High,Fremont Union High,Santa Clara,508,156,127.0,81.41,111.0,71.15,106.0,67.95
1784,Homestead High,Fremont Union High,Santa Clara,605,179,167.0,93.3,162.0,90.5,158.0,88.27
1786,College Park High,Mt. Diablo Unified,Contra Costa,443,162,151.0,93.21,129.0,79.63,127.0,78.4
1787,Caruthers High,Caruthers Unified,Fresno,145,57,29.0,50.88,12.0,21.05,12.0,21.05
1788,Applied Technology Center,Montebello Unified,Los Angeles,123,77,47.0,61.04,15.0,19.48,15.0,19.48
1789,Schurr High,Montebello Unified,Los Angeles,619,214,144.0,67.29,91.0,42.52,84.0,39.25
1792,Ontario High,Chaffey Joint Union High,San Bernardino,588,205,116.0,56.59,64.0,31.22,59.0,28.78
1793,Oceanside High,Oceanside Unified,San Diego,530,132,90.0,68.18,61.0,46.21,55.0,41.67
1796,Orland High,Orland Joint Unified,Glenn,166,32,28.0,87.5,14.0,43.75,14.0,43.75
1799,Antelope High,Roseville Joint Union High,Placer,442,193,151.0,78.24,103.0,53.37,96.0,49.74
1800,Laguna Creek High,Elk Grove Unified,Sacramento,451,175,139.0,79.43,110.0,62.86,101.0,57.71
1802,West Hills High,Grossmont Union High,San Diego,421,132,112.0,84.85,93.0,70.45,90.0,68.18
1803,Aptos High,Pajaro Valley Unified,Santa Cruz,335,121,109.0,90.08,84.0,69.42,82.0,67.77
1810,Southwest Senior High,Sweetwater Union High,San Diego,482,160,73.0,45.63,40.0,25.0,33.0,20.63
1811,Castle Park Senior High,Sweetwater Union High,San Diego,447,112,75.0,66.96,40.0,35.71,37.0,33.04
1814,Exeter Union High,Exeter Unified,Tulare,187,50,34.0,68.0,17.0,34.0,15.0,30.0
1815,Calero High,East Side Union High,Santa Clara,257,24,6.0,25.0,1.0,4.17,1.0,4.17
1816,Latino College Preparatory Academy,East Side Union High,Santa Clara,93,54,19.0,35.19,12.0,22.22,10.0,18.52
1818,Foothill High,Tustin Unified,Orange,542,219,192.0,87.67,151.0,68.95,147.0,67.12
1819,Adolfo Camarillo High,Oxnard Union High,Ventura,507,352,242.0,68.75,201.0,57.1,184.0,52.27
1822,San Pasqual High,Escondido Union High,San Diego,518,192,150.0,78.13,99.0,51.56,95.0,49.48
1823,Bonsall High,Bonsall Unified,San Diego,66,36,26.0,72.22,13.0,36.11,13.0,36.11
